epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,6133.35,1.00083,0.41558,0.00432,0.95321,0.9402,0.96919,0.78306,0.94087,0.39258,0.00428,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6218.26,0.99759,0.40972,0.00425,0.9561,0.93972,0.96837,0.78557,0.93905,0.3877,0.00427,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6303.33,0.99026,0.4096,0.00426,0.94844,0.9429,0.96699,0.78531,0.93379,0.39087,0.00421,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6388.01,0.99109,0.40461,0.00423,0.9487,0.94287,0.96945,0.78888,0.93063,0.38997,0.00424,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6476.78,0.9873,0.40107,0.00424,0.95253,0.94012,0.9684,0.78853,0.93175,0.38516,0.00422,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6560.72,0.98953,0.40168,0.00422,0.95252,0.9418,0.96805,0.78931,0.92434,0.38461,0.0042,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6645.62,0.98598,0.40114,0.00423,0.9447,0.94455,0.96666,0.78869,0.919,0.38784,0.00417,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6731.07,0.9823,0.40353,0.00418,0.94933,0.94126,0.96733,0.78719,0.91852,0.38067,0.00415,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6819.8,0.9772,0.4035,0.00415,0.94482,0.94177,0.96807,0.79031,0.91632,0.38046,0.00414,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6904.43,0.97927,0.40035,0.00418,0.9531,0.94157,0.96945,0.79434,0.9119,0.37927,0.00413,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6989.25,0.97208,0.39325,0.00412,0.94997,0.94309,0.96911,0.79267,0.90582,0.3826,0.0041,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,7073.87,0.96558,0.39649,0.00409,0.955,0.94169,0.97041,0.79355,0.90702,0.37847,0.00409,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7162.27,0.96469,0.39772,0.00411,0.95603,0.93848,0.97043,0.79276,0.90638,0.38238,0.00409,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7248.35,0.96371,0.39054,0.00409,0.95753,0.94015,0.97175,0.79586,0.8995,0.38258,0.00404,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7333.59,0.9604,0.38559,0.00404,0.95811,0.93645,0.97211,0.79765,0.90032,0.38021,0.00404,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7418.87,0.95682,0.38907,0.00407,0.95473,0.94587,0.97106,0.79686,0.89986,0.37916,0.00404,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7506.29,0.95451,0.38626,0.00397,0.95851,0.94367,0.97278,0.80023,0.89457,0.38208,0.00401,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7592.57,0.95322,0.39065,0.00397,0.9534,0.94417,0.97163,0.80065,0.89419,0.37849,0.004,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7678.01,0.94901,0.38632,0.00398,0.95408,0.94504,0.97214,0.79928,0.89152,0.37715,0.00399,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7763.28,0.95062,0.37911,0.00398,0.95916,0.94005,0.97233,0.80186,0.88703,0.37837,0.00396,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7850.38,0.94517,0.37454,0.00397,0.95851,0.94197,0.97237,0.80417,0.88404,0.3739,0.00393,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7938.28,0.93975,0.37167,0.00395,0.96094,0.94447,0.97461,0.80547,0.88291,0.36982,0.0039,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,8022.99,0.93977,0.37727,0.00395,0.94635,0.94933,0.97437,0.80622,0.87893,0.36525,0.0039,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,8107.01,0.934,0.37712,0.00391,0.95387,0.94541,0.9752,0.80678,0.8803,0.36,0.0039,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,8193.72,0.93405,0.37809,0.00389,0.954,0.94997,0.97469,0.80506,0.88048,0.36102,0.0039,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,8282.03,0.93169,0.37136,0.00387,0.95258,0.95174,0.97603,0.8069,0.87607,0.35759,0.00388,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,8366.56,0.93132,0.36769,0.00387,0.95729,0.95292,0.97598,0.80702,0.87385,0.35902,0.00388,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
