epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,2723.69,0.9811,0.40132,0.00437,0.94564,0.89629,0.94151,0.73298,1.06829,0.55628,0.00506,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2773.46,0.96911,0.40633,0.00433,0.93228,0.8904,0.93624,0.72651,1.09288,0.5808,0.00526,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2823.73,0.95418,0.39161,0.00415,0.94487,0.89993,0.93953,0.72561,1.09294,0.55114,0.00525,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2874,0.9548,0.39633,0.00427,0.94185,0.8886,0.92901,0.71703,1.08633,0.59436,0.00528,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2923.99,0.9533,0.4012,0.00419,0.92237,0.90115,0.93769,0.72559,1.10445,0.5593,0.00525,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2976.02,0.95183,0.38955,0.00415,0.93877,0.89543,0.93935,0.73015,1.09028,0.55985,0.00519,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3027.84,0.9448,0.38633,0.00417,0.9413,0.894,0.9383,0.73297,1.07123,0.56699,0.0051,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3078.07,0.94236,0.38228,0.00412,0.94555,0.90057,0.94094,0.73527,1.08036,0.56987,0.00509,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3127.96,0.9408,0.39311,0.00406,0.92557,0.89795,0.93515,0.72448,1.09513,0.57799,0.00539,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3178.21,0.93534,0.38498,0.00406,0.94219,0.88594,0.93472,0.72817,1.07878,0.56752,0.00528,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3228.46,0.92753,0.37652,0.00403,0.94429,0.89092,0.93825,0.72909,1.07804,0.5723,0.00524,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3278.6,0.92546,0.38145,0.00408,0.93083,0.89682,0.93559,0.73231,1.07168,0.55497,0.00508,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3330.18,0.92116,0.37427,0.00399,0.94382,0.88871,0.93946,0.72918,1.07796,0.5509,0.00505,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3382.02,0.9136,0.37478,0.00399,0.93847,0.89078,0.93824,0.7232,1.0928,0.55616,0.00515,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3432.07,0.91318,0.36396,0.00392,0.93659,0.89499,0.93806,0.72967,1.07575,0.57325,0.0051,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3482.59,0.91117,0.37312,0.00391,0.92978,0.9004,0.94027,0.73127,1.07928,0.55666,0.00519,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3532.11,0.90855,0.36308,0.00389,0.94622,0.90694,0.9402,0.7308,1.07818,0.545,0.00509,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3582.35,0.90066,0.36607,0.00386,0.9462,0.90332,0.94377,0.73356,1.0721,0.54334,0.00509,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,3632.46,0.90031,0.36153,0.00389,0.92676,0.89718,0.93646,0.73176,1.0628,0.54299,0.00499,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,3684.64,0.89205,0.3607,0.00382,0.93923,0.8971,0.93957,0.73558,1.0766,0.55119,0.00508,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,3736.55,0.89202,0.36064,0.00376,0.93229,0.8958,0.93686,0.73356,1.06308,0.55405,0.00497,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,3786.75,0.89672,0.35626,0.00385,0.93781,0.90007,0.94356,0.73309,1.07478,0.57801,0.00511,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,3836.48,0.88885,0.35929,0.00382,0.92747,0.90053,0.93918,0.73829,1.06673,0.58492,0.00502,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,3886.33,0.89139,0.35845,0.00383,0.9506,0.89717,0.94065,0.73991,1.07161,0.59936,0.00512,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,3936.36,0.87766,0.35312,0.00376,0.95605,0.88859,0.93808,0.7373,1.06874,0.58307,0.00506,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,3986.5,0.87368,0.35295,0.00371,0.92833,0.90374,0.93881,0.73478,1.06453,0.58125,0.00511,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4038.51,0.87505,0.34878,0.00369,0.93717,0.91524,0.94449,0.74036,1.06504,0.56347,0.00502,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4091.4,0.86838,0.3423,0.00363,0.94016,0.90328,0.94648,0.74283,1.06263,0.53558,0.00509,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4141.29,0.87472,0.34701,0.00367,0.94076,0.90293,0.94345,0.73888,1.05542,0.54902,0.00494,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4191.38,0.86165,0.33756,0.00362,0.93961,0.9032,0.93919,0.73368,1.05713,0.56622,0.005,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4241.04,0.86463,0.33809,0.00361,0.94144,0.90998,0.93903,0.73688,1.07139,0.55702,0.00507,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4291.18,0.8497,0.3358,0.00356,0.92952,0.90757,0.93602,0.73172,1.06269,0.56233,0.00508,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4341.03,0.84778,0.34102,0.00354,0.93548,0.89945,0.93834,0.73431,1.05944,0.56007,0.00502,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4392.91,0.85487,0.3391,0.0036,0.93757,0.90223,0.93769,0.73347,1.0675,0.55615,0.00505,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,4444.77,0.84413,0.33263,0.00353,0.94102,0.90895,0.9397,0.73534,1.04838,0.57553,0.00489,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,104.423,0.80031,0.30814,0.00321,0.95134,0.90025,0.94225,0.74655,1.04624,0.55504,0.00491,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,159.64,0.82633,0.32432,0.00341,0.95143,0.90443,0.94406,0.74153,1.06016,0.54766,0.00494,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,208.99,0.82348,0.33336,0.0035,0.94519,0.89957,0.94361,0.73719,1.06574,0.56238,0.00501,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,258.398,0.81687,0.3276,0.00339,0.95183,0.90001,0.94447,0.74157,1.0508,0.54084,0.00493,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,308.102,0.82658,0.32807,0.00339,0.93456,0.91366,0.94398,0.7376,1.05451,0.53399,0.00496,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,357.633,0.81941,0.32822,0.00334,0.93948,0.90808,0.9472,0.73823,1.0611,0.53478,0.00503,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,407.651,0.81797,0.32528,0.0034,0.94266,0.9176,0.94888,0.74623,1.06843,0.53053,0.00505,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,460.023,0.81786,0.33435,0.00337,0.94026,0.9057,0.94594,0.74579,1.06818,0.53818,0.00502,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,511.438,0.81144,0.31381,0.00332,0.94936,0.90633,0.94769,0.74596,1.05651,0.52982,0.00495,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,561.536,0.81419,0.31074,0.00328,0.94918,0.91296,0.94917,0.74792,1.05663,0.53671,0.00497,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,611.161,0.81051,0.32235,0.00332,0.94638,0.90424,0.94765,0.75164,1.0439,0.53994,0.00486,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,660.936,0.80637,0.31737,0.00328,0.94608,0.90342,0.94751,0.75152,1.05298,0.53364,0.00494,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,711.089,0.79267,0.31295,0.00324,0.94446,0.89711,0.94617,0.74519,1.05197,0.5285,0.00498,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,761.37,0.79466,0.31107,0.00327,0.93909,0.90361,0.94586,0.75152,1.04739,0.54285,0.00489,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,813.805,0.79895,0.31208,0.00323,0.94558,0.90628,0.94668,0.74798,1.04352,0.53732,0.00489,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,864.969,0.79311,0.31028,0.00327,0.95228,0.90634,0.94971,0.74946,1.05644,0.54286,0.00493,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,914.733,0.7863,0.29945,0.00322,0.95743,0.90188,0.9501,0.74884,1.05208,0.55066,0.00492,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,964.562,0.79218,0.30458,0.00323,0.95079,0.90501,0.94681,0.74328,1.05981,0.53896,0.00491,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,1014.55,0.79092,0.30654,0.00319,0.94484,0.90959,0.94425,0.74483,1.05255,0.54849,0.0049,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,1064.14,0.78354,0.30457,0.00317,0.94156,0.92141,0.94521,0.74766,1.04958,0.5411,0.0049,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,1114.12,0.77708,0.29812,0.00311,0.9487,0.91672,0.9471,0.75062,1.04913,0.53177,0.00493,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,1165.76,0.77688,0.29487,0.00313,0.95585,0.90499,0.94748,0.75091,1.05375,0.53517,0.0049,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,1217.9,0.77856,0.30004,0.00311,0.94542,0.91296,0.94893,0.74845,1.05421,0.52528,0.00498,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,1267.36,0.77528,0.30042,0.00311,0.94366,0.91428,0.94857,0.75132,1.04982,0.52765,0.00494,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,1317.29,0.78204,0.31752,0.00311,0.95124,0.9026,0.9466,0.74746,1.04797,0.54417,0.0049,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,1366.9,0.77282,0.30064,0.00311,0.93808,0.91091,0.94391,0.74753,1.04257,0.54624,0.00482,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,1417.08,0.76954,0.29902,0.00307,0.95549,0.90102,0.94571,0.74827,1.03761,0.54554,0.00479,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,1466.91,0.76227,0.29405,0.00304,0.94797,0.89784,0.94943,0.74771,1.03347,0.53331,0.00482,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,1519.52,0.76509,0.29261,0.00312,0.93843,0.91884,0.95036,0.75242,1.04121,0.53518,0.00487,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,1572.52,0.76238,0.29274,0.00306,0.93508,0.92118,0.94907,0.75862,1.04815,0.53673,0.00488,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,1624.69,0.75653,0.29114,0.00304,0.93662,0.91033,0.9495,0.75515,1.04535,0.53197,0.00489,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,1674.4,0.7494,0.29388,0.00301,0.94411,0.91278,0.94792,0.75165,1.04831,0.55228,0.00486,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,1724.09,0.75059,0.2917,0.00298,0.95246,0.89842,0.94576,0.74636,1.05213,0.55536,0.00492,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,1774.03,0.74488,0.28641,0.00298,0.94899,0.90066,0.94781,0.74693,1.05504,0.55049,0.00496,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,1824.03,0.75276,0.29794,0.00304,0.94981,0.89488,0.94718,0.74611,1.05462,0.55221,0.00497,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,1875.23,0.74283,0.28481,0.00295,0.94523,0.90216,0.94774,0.74984,1.05072,0.5544,0.00491,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
