epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4349.59,0.78469,0.3307,0.00341,0.88933,0.88627,0.92459,0.71683,1.10035,0.65353,0.0052,0.000329951,0.000329951,0.000329951
63,4429.9,0.78939,0.33168,0.00333,0.9075,0.88423,0.92938,0.72139,1.10988,0.64848,0.00524,0.000321705,0.000321705,0.000321705
64,4510.66,0.7757,0.32641,0.00322,0.91349,0.87671,0.92378,0.72513,1.09685,0.66131,0.00513,0.000313458,0.000313458,0.000313458
65,4590.84,0.77392,0.32044,0.00327,0.90575,0.87868,0.92326,0.71984,1.08517,0.647,0.00513,0.000305211,0.000305211,0.000305211
66,4671.76,0.77089,0.32552,0.00322,0.90935,0.88072,0.92567,0.72463,1.08687,0.6366,0.00516,0.000296964,0.000296964,0.000296964
67,4752.64,0.75623,0.30921,0.00317,0.89565,0.89528,0.92755,0.72287,1.09265,0.623,0.00516,0.000288718,0.000288718,0.000288718
68,4833.06,0.76097,0.31168,0.00312,0.92397,0.86519,0.92571,0.72469,1.09788,0.62332,0.00516,0.000280471,0.000280471,0.000280471
69,4913.46,0.7497,0.31364,0.0031,0.88107,0.8927,0.92613,0.72166,1.09266,0.63318,0.00517,0.000272224,0.000272224,0.000272224
70,4995.03,0.7501,0.31314,0.00309,0.92201,0.86846,0.9311,0.72786,1.10129,0.61396,0.0052,0.000263978,0.000263978,0.000263978
71,5074.63,0.7369,0.30044,0.003,0.91107,0.87854,0.92913,0.72131,1.10196,0.65176,0.00515,0.000255731,0.000255731,0.000255731
72,5154.93,0.73445,0.30188,0.0031,0.90982,0.88843,0.92914,0.72406,1.09281,0.65233,0.0051,0.000247484,0.000247484,0.000247484
73,5238.81,0.73364,0.31003,0.00301,0.9184,0.85876,0.91527,0.71539,1.08852,0.65835,0.00503,0.000239238,0.000239238,0.000239238
74,5311.09,0.72932,0.30458,0.00297,0.90194,0.88565,0.92421,0.72157,1.09363,0.61721,0.0051,0.000230991,0.000230991,0.000230991
75,5393.31,0.72133,0.30417,0.00295,0.91673,0.86656,0.92996,0.7261,1.09203,0.63309,0.00507,0.000222744,0.000222744,0.000222744
76,5458.73,0.72085,0.29607,0.00287,0.89625,0.88902,0.92889,0.72887,1.08748,0.61028,0.0051,0.000214497,0.000214497,0.000214497
77,5525.97,0.71963,0.29616,0.0029,0.90884,0.88225,0.93139,0.73283,1.08825,0.61919,0.00506,0.000206251,0.000206251,0.000206251
78,5607.4,0.71649,0.29784,0.00283,0.91239,0.88326,0.9337,0.73299,1.08671,0.61604,0.00514,0.000198004,0.000198004,0.000198004
79,5689.12,0.69789,0.2869,0.00273,0.89753,0.88475,0.92922,0.72935,1.08778,0.61263,0.00513,0.000189757,0.000189757,0.000189757
80,5765.76,0.70684,0.29411,0.00281,0.92996,0.88217,0.93197,0.7334,1.09346,0.62423,0.00519,0.000181511,0.000181511,0.000181511
81,5847.51,0.69642,0.28828,0.00275,0.908,0.89141,0.9293,0.72619,1.09575,0.63237,0.00513,0.000173264,0.000173264,0.000173264
82,5929.12,0.69836,0.29449,0.00278,0.89882,0.87913,0.92775,0.72663,1.08141,0.63139,0.00506,0.000165017,0.000165017,0.000165017
83,6010.34,0.68573,0.28789,0.00271,0.91325,0.88579,0.92914,0.72884,1.08628,0.62222,0.00505,0.000156771,0.000156771,0.000156771
84,6091.15,0.68577,0.27879,0.00266,0.92132,0.88888,0.92822,0.72209,1.0863,0.62053,0.0051,0.000148524,0.000148524,0.000148524
85,6171.87,0.68235,0.2794,0.00266,0.92734,0.88454,0.93166,0.7294,1.08991,0.62715,0.00512,0.000140277,0.000140277,0.000140277
86,6252.8,0.68533,0.28053,0.00262,0.91984,0.85893,0.93035,0.7289,1.09463,0.62501,0.00515,0.000132031,0.000132031,0.000132031
87,6333.25,0.67464,0.28347,0.0026,0.91766,0.86131,0.92686,0.72453,1.08988,0.62737,0.00512,0.000123784,0.000123784,0.000123784
88,6414.42,0.67835,0.27849,0.00267,0.89189,0.87351,0.92504,0.72019,1.08514,0.61838,0.00505,0.000115537,0.000115537,0.000115537
89,6495.56,0.66815,0.28213,0.00257,0.90482,0.84452,0.91775,0.71486,1.0911,0.66211,0.00507,0.00010729,0.00010729,0.00010729
90,6576.46,0.66632,0.27205,0.00252,0.90599,0.87061,0.92522,0.72526,1.08639,0.64321,0.00505,9.90437e-05,9.90437e-05,9.90437e-05
91,140.244,0.68492,0.28253,0.00268,0.9397,0.88376,0.93527,0.73271,1.08075,0.60982,0.00506,9.0797e-05,9.0797e-05,9.0797e-05
92,300.305,0.6855,0.28468,0.00269,0.89874,0.88903,0.92411,0.72221,1.07967,0.63292,0.00505,8.25503e-05,8.25503e-05,8.25503e-05
93,457.671,0.67669,0.2788,0.00262,0.90811,0.88604,0.92572,0.72537,1.08103,0.63925,0.00506,7.43036e-05,7.43036e-05,7.43036e-05
94,582.048,0.66507,0.27512,0.00254,0.91524,0.8727,0.93211,0.73446,1.08089,0.62826,0.00503,6.60569e-05,6.60569e-05,6.60569e-05
95,682.261,0.66528,0.2752,0.00256,0.9081,0.88924,0.93004,0.72537,1.081,0.62912,0.00503,5.78102e-05,5.78102e-05,5.78102e-05
96,102.835,0.66427,0.277,0.00255,0.91316,0.89278,0.93257,0.72928,1.08021,0.62955,0.00502,4.95635e-05,4.95635e-05,4.95635e-05
97,187.443,0.65803,0.2702,0.00249,0.90889,0.89067,0.92938,0.72873,1.07975,0.639,0.005,4.13168e-05,4.13168e-05,4.13168e-05
98,282.24,0.64613,0.26767,0.00245,0.92669,0.8707,0.92915,0.72925,1.07951,0.63477,0.00498,3.30701e-05,3.30701e-05,3.30701e-05
99,370.715,0.64528,0.26462,0.00242,0.92138,0.88134,0.92995,0.72984,1.08012,0.62988,0.00499,2.48234e-05,2.48234e-05,2.48234e-05
100,460.131,0.64318,0.26863,0.00242,0.92333,0.86214,0.93048,0.7288,1.0821,0.61267,0.00505,1.65767e-05,1.65767e-05,1.65767e-05
